amfi_code,max_drawdown,max_drawdown_pct
119599,-0.5257422117012851,-52.57
119095,-0.5167775370852656,-51.68
101207,-0.3544691649336603,-35.45
149324,-0.31171900300634214,-31.17
119598,-0.2870600572176455,-28.71
102886,-0.2800112356639287,-28.0
100016,-0.24734440880673303,-24.73
120842,-0.24003511326274884,-24.0
118634,-0.2334488614483311,-23.34
119093,-0.21751396370148224,-21.75
102887,-0.21539827112383225,-21.54
125498,-0.21117279560132118,-21.12
119094,-0.20960883862039192,-20.96
120506,-0.1982565826298267,-19.83
118633,-0.18629743138595511,-18.63
120505,-0.18188513572116294,-18.19
120841,-0.1757361416468729,-17.57
118632,-0.17414075086657232,-17.41
149323,-0.17248105753451382,-17.25
148569,-0.1639674294693263,-16.4
100033,-0.16217208574644848,-16.22
148568,-0.1527259422823477,-15.27
125497,-0.15200013055606398,-15.2
119551,-0.1501238549864533,-15.01
149322,-0.14844576917771746,-14.84
119092,-0.1440161790933726,-14.4
120503,-0.13897862823061635,-13.9
120843,-0.1297396816518679,-12.97
120504,-0.12588275606922517,-12.59
119552,-0.11803493502764295,-11.8
118635,-0.1165062450540909,-11.65
101206,-0.11291596329323073,-11.29
148567,-0.11265729075028275,-11.27
102885,-0.1085986215250232,-10.86
118636,-0.08316361763638702,-8.32
119120,-0.04328728923970093,-4.33
100025,-0.04308263824636349,-4.31
101208,-0.0016224980244717857,-0.16
120844,-0.0011629327956168556,-0.12
120507,-0.0009773140045925555,-0.1
